CELDA;NOMBRE;CONTROLLER;FECHA;RSSI
LE31WU2;LE_RS_CUBILLOS_CYLX0;CYL70R01;2017-08-27;-70.69
SA43WU3;AM_SA_RS_SANTISPIRIT;CYL10R01;2017-08-27;-72.86
BU16WU1;BU_LERMA;RNC674;2017-08-27;-74.17
ZA10WU2;AM_ZA_FONTANILLAS DE;CYL30R01;2017-08-27;-75.59
VA80GU2;AT_VA_IKEA;RNC682;2017-08-27;-78.5
BU44WU1;AM_BU_PBSASAMON;RNC674;2017-08-27;-81.06
AV25WU1;AM_AV_MADTORRES;RNC673;2017-08-27;-81.9
SO03WU2;OR_SO_ALMAZAN_NORTE_;RNC674;2017-08-27;-83.34
PX04PU1;TM_P_BERRUGUETE;RNC682;2017-08-27;-84.06
AV38WU2;AM_AV_NAVADEAREVALO;RNC673;2017-08-27;-84.71
ZA02WU3;AM_ZA_BENAVENTE_MERC;CYL30R01;2017-08-27;-85.63
VA25WU2;AT_VA_OLMEDO;RNC682;2017-08-27;-85.74
SO02WU3;AM_SO_PBALMAZAN;RNC674;2017-08-27;-85.84
VA61WU2;TM_VA_PALENCIA;RNC682;2017-08-27;-85.88
PX07PU3;AT_P_CINCOPICOS;RNC682;2017-08-27;-86.1
BU08WU3;AM_BU_PBVILLARCAYO;RNC674;2017-08-27;-86.28
VA27WU1;AM_VA_PEDRAJAS DE SA;RNC682;2017-08-27;-86.73
SG44WU2;AT_SG_OTERO;RNC673;2017-08-27;-88.44
SG24WU3;AT_SG_COCA;RNC673;2017-08-27;-88.45
SX22IU1;S_RS_LUENA_CTBX7514;CTB10R03;2017-08-27;-88.52
SO31WU3;AM_SO_BERLANGA_OSP;RNC674;2017-08-27;-88.59
SA14WU1;SA_RS_CARBAJOSA_CYLX;CYL10R01;2017-08-27;-88.59
BU12GU3;AM_BU_PISONES;RNC674;2017-08-27;-88.62
VA80GU3;AT_VA_IKEA;RNC682;2017-08-27;-88.97
VA80GU1;AT_VA_IKEA;RNC682;2017-08-27;-89.07
AV20WU3;AT_AV_BARRACO;RNC673;2017-08-27;-89.4
SA16WU2;SA_RS_CAMPILLO DE SA;CYL10R01;2017-08-27;-89.48
PX07PU1;AT_P_CINCOPICOS;RNC682;2017-08-27;-89.49
BU12WU1;TM_BU_VILLASANA;RNC674;2017-08-27;-89.92
VA46WU3;AT_VA_NAVADELREY;RNC682;2017-08-27;-90.09
VA01GU2;AT_VA_PLAZACOCA;RNC682;2017-08-27;-90.28
VA63WU1;AM_VA_QUINTANILLA DE;RNC682;2017-08-27;-90.8
SX54WU1;S_HOZNAYO_CTBX5401;CTB10R02;2017-08-27;-91.21
SG03WU2;AM_SG_ARROYOCUELLAR;RNC673;2017-08-27;-91.33
SX50WU1;S_RS_RASINES_CTBX690;CTB10R02;2017-08-27;-91.42
SG31WU3;AT_SG_AYLLON;RNC673;2017-08-27;-91.49
SA03WU2;AM_SA_RS_BEJAR_PLAZA;CYL10R01;2017-08-27;-91.61
VA58GU2;AT_VA_VILLA DEL PRAD;RNC682;2017-08-27;-91.67
SO31WU2;AM_SO_BERLANGA_OSP;RNC674;2017-08-27;-91.74
VA11WU1;AM_VA_HERRERA DE DUE;RNC682;2017-08-27;-91.87
VA74GU2;AM_VA_SAN BLAS;RNC682;2017-08-27;-92.15
ZA02WU2;AM_ZA_BENAVENTE_MERC;CYL30R01;2017-08-27;-92.24
LE07IU2;LE_RS_VILLABLINO_CYL;CYL70R01;2017-08-27;-92.58
VA14GU1;AT_VA_PARQUESOL;RNC682;2017-08-27;-92.59
SO31WU1;AM_SO_BERLANGA_OSP;RNC674;2017-08-27;-92.6
SO08PU1;TM_SO_CAMARETAS;RNC674;2017-08-27;-92.68
SO10WU1;AT_SO_SANESTEB2;RNC674;2017-08-27;-92.81
