FECHA;PROV;CELDA;NOMBRE;INTERF MEDIA;ZONA
2017-08-27;BU;BU45GJ3;RV_BU_PLAZADELREY;-92.72;ROJA
2017-08-27;SO;SO11PJ3;OR_SO_INDEPENDENCIA;-94.0;ROJA
2017-08-27;AV;AV31PJ1;AT_AV_CIUDAD DEPORTI;-94.79;ROJA
2017-08-27;SG;SG29WJ2;AM_SG_RSCANTIMPALOS;-98.45;ROJA
2017-08-27;BU;BU02KJ1;AT_BU_MIRANDANUEVA;-99.06;ROJA
2017-08-27;AV;AV39WJ2;RV_AV_MIJARES;-99.62;ROJA
2017-08-27;SO;SO02WJ3;AM_SO_PBALMAZAN;-100.6;ROJA
2017-08-27;LE;LE53WJ2;AM_LE_RS_NOCEDA_CYLX;-100.79;NARANJA OR
2017-08-27;LE;LE04PJ3;AT_LE_REINO;-101.55;NARANJA VF
2017-08-27;VA;VA12WJ3;AT_VA_EMOTUDELA;-102.18;ROJA
2017-08-27;VA;VA68WJ3;AM_VA_LA SECA;-102.19;ROJA
2017-08-27;PX;PX01PK3;AT_P_PALENCIA;-103.53;NARANJA VF
2017-08-27;SX;SX53WJ3;S_RS_CICERO_CTBX7207;-103.81;NARANJA OR
2017-08-27;SG;SG07WJ3;AT_SG_LOSANGELES;-103.83;ROJA
2017-08-27;LE;LE41RJ2;AT_LE_ASTURICA;-104.07;NARANJA VF
2017-08-27;SA;SA30WJ2;AM_SA_ALDEATEJADA_CY;-104.23;NARANJA OR
2017-08-27;VA;VA31GJ3;AT_VA_PINAR;-104.23;ROJA
2017-08-27;SA;SA18PJ2;AT_SA_CALZADATORO;-104.33;NARANJA VF
2017-08-27;SO;SO01PJ3;AT_SO_NUMANCIA;-104.56;ROJA
2017-08-27;AV;AV23WJ2;AM_AV_PIEDRALAVES;-104.57;ROJA
2017-08-27;AV;AV04WJ1;AM_AV_POYALES;-104.64;ROJA
2017-08-27;LE;LE78WJ2;LE_RS_SANTA MARINA D;-104.69;NARANJA OR
2017-08-27;AV;AV26WJ2;AM_AV_BURGOHONDO;-104.83;ROJA
2017-08-27;VA;VA23GJ3;AT_VA_PAJARILLOS;-105.0;ROJA
2017-08-27;LE;LE07PJ3;TM_LE_CONDE TORENO M;-105.02;NARANJA VF
