FECHA;PROV;CELDA;NOMBRE;USO MIMO
2017-08-27;AV;AV16WK1;AM_AV_LA ATALAYA;0.22
2017-08-27;BU;BU71GJ4;TM_BU_HOSPITAL_UNIVE;1.95
2017-08-27;AV;AV17WK1;RV_AV_CEBREROS;3.49
2017-08-27;SG;SG03PK3;AM_SG_LA ALBUERA;3.68
2017-08-27;BU;BU49OJ1;AT_BU_BUGEDO;4.66
2017-08-27;AV;AV38WJ3;AM_AV_NAVADEAREVALO;6.35
2017-08-27;VA;VA36WJ3;AM_VA_PARQUE BOECILL;6.4
2017-08-27;SG;SG25PJ1;AT_SG_HONTORIA;6.96
2017-08-27;BU;BU71GJ5;TM_BU_HOSPITAL_UNIVE;7.06
2017-08-27;SA;SA32WJ1;AM_SA_LAALBERCA_CYLX;7.78
2017-08-27;BU;BU71GJ6;TM_BU_HOSPITAL_UNIVE;8.48
2017-08-27;LE;LE16WJ3;LE_RS_SANTAS_MARTAS_;9.06
2017-08-27;ZA;ZA04WJ2;AM_ZA_SAN_CRISTOBAL_;9.23
2017-08-27;BU;BU31WJ1;RV_BU_PRADOLUENGO;9.74
2017-08-27;ZA;ZA15PK1;AT_ZA_LA VILLARINA;9.81
2017-08-27;BU;BU18WM1;AT_BU_ROA;10.26
2017-08-27;PX;PX18IJ1;AM_P_PAREDESNAVA_CYL;10.9
2017-08-27;BU;BU18WM3;AT_BU_ROA;11.17
2017-08-27;LE;LE15KJ3;AT_LE_LA PLACA;11.38
2017-08-27;SA;SA12PK2;AT_SA_LOS VILLARES;11.39
2017-08-27;SA;SA61WJ3;AM_SA_RS_CANTARACILL;11.54
2017-08-27;BU;BU07KL3;AT_BU_ARANDA;11.75
2017-08-27;VA;VA34WK2;AT_VA_PARQUEBOECILLO;11.9
2017-08-27;ZA;ZA14PJ3;AT_ZA_POLIGONO LOS L;11.93
2017-08-27;BU;BU24GK1;AT_BU_RIOPICO;11.95
2017-08-27;SG;SG24WJ1;AT_SG_COCA;12.36
2017-08-27;ZA;ZA07PJ3;AT_ZA_LAHINIESTA;12.41
2017-08-27;SX;SX50WJ3;S_RS_RASINES_CTBX690;12.45
2017-08-27;BU;BU49OJ3;AT_BU_BUGEDO;12.92
2017-08-27;ZA;ZA02RJ1;AT_ZA_RIOFRIODEALIST;13.15
2017-08-27;VA;VA36WJ2;AM_VA_PARQUE BOECILL;13.17
2017-08-27;SA;SA12PJ2;AT_SA_LOS VILLARES;13.23
2017-08-27;SX;SX29WJ1;S_NATES_AM_CTBX3301;14.0
2017-08-27;SX;SX92WJ1;AT_S_VEGADELPAS;14.03
2017-08-27;SO;SO17WM1;OR_SO_PBCOVALEDA;14.24
2017-08-27;LE;LE88WJ1;LE_RS_TORRE DEL BIER;14.62
2017-08-27;LE;LE17PK2;LE_PICARA JUSTINA;14.76
2017-08-27;AV;AV05PJ3;AT_AV_ACPOLICIA;14.95
2017-08-27;BU;BU27WJ2;OR_BU_VILLADIEGO_I;15.1
2017-08-27;LE;LE96WJ2;AT_LE_PUENTE_CYLX157;15.33
2017-08-27;AV;AV27WM1;AM_AV_CASAVIEJA;15.46
2017-08-27;SO;SO12PK2;AT_SO_VALCORBA;15.88
2017-08-27;LE;LE95WJ3;AM_LE_VALDERAS_CYLX0;15.95
2017-08-27;SA;SA04PJ3;AT_SA_FILIBERTO;16.09
2017-08-27;LE;LE98IJ1;AM_LE_ORBIGO HOSPITA;16.24
2017-08-27;AV;AV22WJ3;AT_AV_NAVALUENGA;16.29
2017-08-27;LE;LE23WJ1;LE_CASTROPODAME_CYLX;16.36
