CELDA;NOMBRE;CONTROLLER;FECHA;RSSI
LO05EU2;AT_LO_CALAHORRA;RNC421;2017-08-27;-73.93
LO02GU2;AT_LO_ALFARO;RNC421;2017-08-27;-77.59
LO02GU1;AT_LO_ALFARO;RNC421;2017-08-27;-77.68
NA19FU2;AT_NA_BAYONA;RNC430;2017-08-27;-81.69
NA19FU1;AT_NA_BAYONA;RNC430;2017-08-27;-86.57
NA62CU2;OR_NA_MURCHANTE_ORAN;RNC421;2017-08-27;-87.09
SG06SU0;AT_SG_GALLEGOS;RNC616;2017-08-27;-88.07
NA61BU3;OR_NA_ARCOS_ORANGE;RNC430;2017-08-27;-88.99
NA63FU2;AT_NA_REYNODENAVARRA;RNC430;2017-08-27;-89.37
NA19FU3;AT_NA_BAYONA;RNC430;2017-08-27;-89.41
VA29OU0;AM_VA_CASTRONUEVO DE;RNC616;2017-08-27;-89.61
SX16EU1;AT_S_LAREDO_2;RNC426;2017-08-27;-90.07
SX95AU3;AT_S_MARQUES_DE_SANT;RNC426;2017-08-27;-90.51
NA01CU3;GN_NA_PERALTA;RNC430;2017-08-27;-91.27
NA53BU2;TM_NA_CIRCUITO;RNC430;2017-08-27;-91.47
LO08GU3;AT_LO_CEM_RESERVA;RNC421;2017-08-27;-91.99
NA29FU1;TM_NA_ROCHAPEA;RNC430;2017-08-27;-92.41
SX25CU2;AT_S_TORRECENTRO;RNC426;2017-08-27;-92.48
SX06EU2;AT_S_GURIEZO;RNC426;2017-08-27;-92.58
NA40CU1;AM_NA_MONTEAGUDO;RNC421;2017-08-27;-93.04
LO06CU2;AT_LO_STO.DOMINGO;RNC421;2017-08-27;-93.23
LO16RU1;OR_LO_PLZ_PRIMERO_MA;RNC421;2017-08-27;-93.59
NA10CU1;AT_NA_PLANASA;RNC430;2017-08-27;-93.91
LO12DU2;OR_LO_NAJERA_NORTE;RNC421;2017-08-27;-94.08
LO12AU3;AT_LO_NAVARRETE;RNC421;2017-08-27;-94.22
BU48SU2;AT_BU_RUBENA;RNC600;2017-08-27;-94.23
