FECHA;PROV;CELDA;4G_ERI_IntraFreq_Prep_HO_Succ_Rate;4G_ERI_IntraFreq_Exec_HO_Succ_Rate
2017-08-27;AV32WJ3;AV;100.0;19.48
2017-08-27;SG17WM2;SG;81.82;20.0
2017-08-27;SG02PL2;SG;100.0;21.17
2017-08-27;AV29WJ2;AV;100.0;28.03
2017-08-27;AV04WJ1;AV;94.3;33.7
2017-08-27;SA32WJ2;SA;99.62;34.38
2017-08-27;ZA23RJ2;ZA;100.0;37.23
2017-08-27;SG16WM2;SG;100.0;37.5
2017-08-27;LE95WJ1;LE;99.05;44.2
2017-08-27;LE76WJ3;LE;100.0;47.69
2017-08-27;SX83WJ2;SX;100.0;49.3
2017-08-27;SG19WJ2;SG;89.29;51.37
2017-08-27;AV25WJ2;AV;81.96;54.33
2017-08-27;VA57WJ2;VA;85.4;55.87
2017-08-27;SA69WJ2;SA;100.0;59.2
2017-08-27;BU27WJ1;BU;100.0;60.47
2017-08-27;SO23WJ2;SO;100.0;61.63
2017-08-27;SG12WJ3;SG;66.9;66.15
2017-08-27;ZA71WJ2;ZA;100.0;67.82
2017-08-27;SX29WJ2;SX;100.0;69.21
2017-08-27;VA59WJ2;VA;90.77;69.54
2017-08-27;PX07IJ1;PX;100.0;70.09
2017-08-27;LE97WJ2;LE;99.92;70.62
2017-08-27;SO04WJ1;SO;99.72;71.17
2017-08-27;SO26WK1;SO;100.0;71.43
2017-08-27;VA56WJ2;VA;99.64;72.1
2017-08-27;SA11PJ3;SA;100.0;72.69
2017-08-27;SG40WM2;SG;16.3;72.73
2017-08-27;SO15OJ3;SO;100.0;72.81
2017-08-27;SO09SK1;SO;100.0;72.86
2017-08-27;SG41WJ1;SG;92.64;73.06
2017-08-27;SA69WJ1;SA;100.0;73.59
2017-08-27;SG06RJ2;SG;99.41;74.15
2017-08-27;LE57IJ3;LE;99.72;74.21
2017-08-27;LE45WJ3;LE;100.0;74.39
2017-08-27;BU18WJ1;BU;100.0;74.56
2017-08-27;VA27WJ2;VA;99.94;75.11
2017-08-27;AV33WJ2;AV;100.0;75.21
2017-08-27;SA39WJ3;SA;100.0;75.9
2017-08-27;SA24WJ3;SA;99.98;76.18
2017-08-27;AV38WJ2;AV;96.73;76.24
2017-08-27;SA35WJ3;SA;94.1;76.44
2017-08-27;LE08RJ3;LE;99.96;76.58
2017-08-27;SA39WJ2;SA;100.0;76.65
2017-08-27;SG42WJ1;SG;96.16;76.86
2017-08-27;SA10WJ1;SA;100.0;77.24
2017-08-27;ZA02RJ3;ZA;99.95;77.64
2017-08-27;LE16WJ1;LE;89.0;77.82
2017-08-27;VA46WJ3;VA;90.8;78.55
2017-08-27;LE95IJ1;LE;100.0;78.78
2017-08-27;LE54IJ1;LE;100.0;78.9
2017-08-27;LE15WJ3;LE;100.0;78.92
2017-08-27;PX18IJ1;PX;100.0;79.15
2017-08-27;VA46WJ1;VA;85.92;79.44
2017-08-27;SA61WJ1;SA;100.0;79.89
2017-08-27;SA47WJ1;SA;100.0;80.19
2017-08-27;PX10IJ1;PX;56.39;80.33
2017-08-27;SX34WJ2;SX;100.0;80.67
2017-08-27;BU27WK3;BU;100.0;81.13
2017-08-27;LE92WJ3;LE;74.47;81.3
2017-08-27;SO30WJ1;SO;100.0;81.4
2017-08-27;VA45WJ1;VA;100.0;81.5
2017-08-27;LE05RK2;LE;95.47;81.65
2017-08-27;PX07IJ3;PX;100.0;81.95
