FECHA;PROV;CELDA;VoLTE_Minutes_Ericcson;VoLTE_Attempted_Calls_Ericsson;VoLTE_Established_Calls_Ericsson;VoLTE_Released_Calls_Ericsson_Active_eRAB_Based;VoLTE_Released_Calls_Ericsson_All_eRAB_Based;VoLTE_SRVCC_to_UMTS_HO_Prep_Att_Ericsson;VoLTE_SRVCC_to_UMTS_HO_Prep_Succ_Ericsson;VoLTE_SRVCC_to_UMTS_HO_Prep_Succ_Rate_Ericsson
2017-08-27;SG01WK1;SG;164.0;197;195;35;191;22;22;100.0
2017-08-27;LE18WJ3;LE;133.0;135;135;135;135;0;0;
2017-08-27;VA27WJ2;VA;81.0;103;103;10;102;4;4;100.0
2017-08-27;LE08IJ2;LE;50.0;91;91;91;93;2;2;100.0
2017-08-27;PX03PK1;PX;62.0;88;88;9;87;0;0;
2017-08-27;LE41RK1;LE;53.0;74;74;6;64;3;3;100.0
2017-08-27;LE11KK3;LE;205.0;68;68;9;62;0;0;
2017-08-27;AV09WJ1;AV;110.0;64;64;14;77;4;4;100.0
2017-08-27;BU01KK2;BU;39.0;64;64;13;57;8;8;100.0
2017-08-27;PX30IJ3;PX;89.0;64;64;65;65;0;0;
2017-08-27;VA01KK1;VA;122.0;62;62;9;53;5;5;100.0
2017-08-27;SO01PL3;SO;90.0;61;61;6;45;0;0;
2017-08-27;LE07WJ2;LE;71.0;60;60;51;57;6;6;100.0
2017-08-27;SG06WK1;SG;69.0;58;58;15;57;4;4;100.0
2017-08-27;ZA21WJ2;ZA;55.0;58;58;54;58;4;4;100.0
2017-08-27;PX08IJ3;PX;85.0;56;56;56;56;0;0;
2017-08-27;VA70GK1;VA;43.0;54;54;14;48;4;4;100.0
2017-08-27;AV14WK2;AV;144.0;53;53;6;48;1;1;100.0
2017-08-27;LE11KK1;LE;75.0;53;53;10;50;0;0;
2017-08-27;LE41RK2;LE;33.0;49;49;6;41;1;1;100.0
2017-08-27;SA24WJ2;SA;38.0;49;49;47;47;0;0;
2017-08-27;BU14GK3;BU;63.0;47;47;6;43;0;0;
2017-08-27;LE07IJ3;LE;90.0;47;47;47;47;0;0;
2017-08-27;VA11GK1;VA;139.0;47;47;4;42;0;0;
2017-08-27;AV39WJ2;AV;98.0;46;46;13;48;0;0;
2017-08-27;LE01KK2;LE;91.0;46;46;4;48;3;3;100.0
2017-08-27;LE07KK2;LE;221.0;46;46;5;36;6;6;100.0
2017-08-27;LE06KK1;LE;68.0;45;45;3;44;2;2;100.0
2017-08-27;VA03GK2;VA;53.0;45;45;8;47;2;2;100.0
2017-08-27;VA25GK3;VA;42.0;45;45;17;45;1;1;100.0
2017-08-27;LE09PK3;LE;88.0;43;43;9;38;1;1;100.0
2017-08-27;LE29IJ2;LE;90.0;43;43;34;34;0;0;
2017-08-27;SG24WJ3;SG;66.0;43;43;7;41;2;2;100.0
2017-08-27;VA08GK1;VA;81.0;43;43;9;43;2;2;100.0
2017-08-27;BU13GK1;BU;87.0;42;42;8;45;0;0;
2017-08-27;LE40PJ2;LE;17.0;42;42;10;42;5;5;100.0
2017-08-27;SA01PK2;SA;57.0;42;42;11;39;1;1;100.0
2017-08-27;VA70GK2;VA;99.0;42;42;5;38;0;0;
2017-08-27;AV09WK1;AV;17.0;41;41;5;27;0;0;
2017-08-27;AV23WK2;AV;171.0;41;41;9;40;2;2;100.0
2017-08-27;BU01KK1;BU;42.0;41;41;12;36;2;2;100.0
2017-08-27;BU19WJ3;BU;27.0;41;41;8;41;1;1;100.0
2017-08-27;BU22GK3;BU;172.0;41;41;5;42;3;3;100.0
2017-08-27;LE40RK2;LE;35.0;41;41;5;37;0;0;
2017-08-27;SX10IJ3;SX;60.0;41;41;42;42;0;0;
2017-08-27;AV33RJ1;AV;51.0;40;40;5;44;6;6;100.0
2017-08-27;PX01PK3;PX;46.0;40;39;7;27;0;0;
2017-08-27;SG02WK2;SG;49.0;40;40;6;39;0;0;
2017-08-27;SG33WJ3;SG;44.0;40;40;5;40;2;2;100.0
2017-08-27;LE13KK1;LE;55.0;39;39;6;36;4;4;100.0
2017-08-27;SA04PK1;SA;85.0;39;39;1;27;0;0;
2017-08-27;AV08WK3;AV;48.0;38;38;6;35;4;4;100.0
2017-08-27;BU08WJ3;BU;36.0;38;38;6;37;0;0;
2017-08-27;LE17IJ1;LE;116.0;38;37;36;38;2;2;100.0
2017-08-27;PX04PK2;PX;67.0;38;38;12;44;3;3;100.0
2017-08-27;PX20RK1;PX;72.0;38;38;2;34;4;4;100.0
2017-08-27;SG07WK3;SG;70.0;38;38;7;30;1;1;100.0
2017-08-27;VA05GK2;VA;63.0;38;38;7;38;0;0;
2017-08-27;VA17GK1;VA;114.0;38;38;5;37;0;0;
2017-08-27;AV19WJ1;AV;50.0;37;37;7;38;0;0;
2017-08-27;BU19WJ2;BU;20.0;37;37;7;34;2;2;100.0
2017-08-27;SA18PK2;SA;129.0;37;37;9;35;5;5;100.0
2017-08-27;SA27PK2;SA;66.0;37;37;7;31;4;4;100.0
2017-08-27;VA01KK2;VA;78.0;37;37;2;33;15;15;100.0
2017-08-27;VA25GK1;VA;115.0;37;37;8;38;0;0;
2017-08-27;SX45WJ2;SX;29.0;36;36;35;35;1;1;100.0
2017-08-27;VA09GK1;VA;60.0;36;36;6;32;0;0;
2017-08-27;AV01WK3;AV;57.0;35;35;4;28;0;0;
2017-08-27;AV08WK1;AV;19.0;35;35;6;27;0;0;
2017-08-27;LE30PL3;LE;25.0;35;35;5;22;0;0;
2017-08-27;SA09PK3;SA;123.0;35;35;6;36;8;8;100.0
2017-08-27;SG40WJ2;SG;42.0;35;35;3;37;12;12;100.0
2017-08-27;SO10WJ3;SO;47.0;35;35;11;33;;;
