FECHA;CELDA;PROV;4G_HUA_IntraFreq_Prep_HO_Succ_Rate;4G_HUA_IntraFreq_Prep_HO_Succ_Rate,4G_HUA_IntraFreq_Exec_HO_Succ_Rate
2017-08-27;PX01VJ1;PX;99.1;32.66
2017-08-27;VA10VM2;VA;95.89;67.86
2017-08-27;NA26CM1;NA;100.0;70.18
2017-08-27;VA10VM1;VA;96.12;73.39
2017-08-27;SX12CJ2;SX;96.95;74.56
2017-08-27;SX26CK1;SX;100.0;79.91
2017-08-27;SX26CK2;SX;99.97;80.13
2017-08-27;NA07AK2;NA;83.05;80.96
2017-08-27;LO13AM3;LO;100.0;85.0
2017-08-27;SX95CK1;SX;100.0;85.0
2017-08-27;LO03JJ1;LO;83.93;85.11
2017-08-27;SX24CK1;SX;99.97;87.28
2017-08-27;PX04RJ1;PX;98.11;87.3
2017-08-27;NA56CJ1;NA;100.0;87.78
2017-08-27;PX01VJ2;PX;98.44;87.88
2017-08-27;LO03EM3;LO;100.0;88.57
2017-08-27;LO05CM1;LO;100.0;90.0
2017-08-27;NA19CJ1;NA;99.76;91.3
2017-08-27;SX24CK2;SX;99.51;91.86
2017-08-27;SX12CJ1;SX;99.73;92.15
2017-08-27;SX71OK1;SX;100.0;92.63
2017-08-27;PX04RJ2;PX;94.23;92.65
2017-08-27;NA48AM1;NA;100.0;92.86
2017-08-27;NA41AM1;NA;100.0;93.0
2017-08-27;LO03EM1;LO;100.0;93.07
2017-08-27;BU02AJ2;BU;95.83;93.56
2017-08-27;NA24CM3;NA;99.86;93.56
2017-08-27;SX26CJ2;SX;99.27;93.65
2017-08-27;NA47BJ1;NA;99.74;93.71
2017-08-27;LO12AM2;LO;100.0;93.75
2017-08-27;LO01GM3;LO;100.0;94.03
2017-08-27;SX18EK3;SX;100.0;94.26
2017-08-27;SX03EK1;SX;100.0;94.47
2017-08-27;SX31LK1;SX;100.0;94.47
2017-08-27;SO20OJ2;SO;99.07;94.71
2017-08-27;SX10CM1;SX;100.0;94.79
2017-08-27;NA34CM2;NA;99.91;94.88
2017-08-27;SX79CK1;SX;100.0;95.12
2017-08-27;LO26AM2;LO;100.0;95.16
2017-08-27;NA04CJ1;NA;99.17;95.41
2017-08-27;SX79CK2;SX;99.99;95.41
2017-08-27;SX20AJ2;SX;99.9;95.59
2017-08-27;SO25SJ2;SO;95.82;95.64
2017-08-27;LO05CJ3;LO;100.0;95.83
2017-08-27;NA26CM3;NA;100.0;95.91
2017-08-27;LO01GM2;LO;100.0;95.92
2017-08-27;SX77LK2;SX;100.0;95.96
2017-08-27;NA56CJ3;NA;100.0;96.02
2017-08-27;AV93WJ1;AV;99.94;96.09
2017-08-27;LO05GM2;LO;100.0;96.15
2017-08-27;SO20OJ1;SO;99.77;96.25
2017-08-27;LE90VJ1;LE;98.95;96.45
2017-08-27;LO03EM2;LO;100.0;96.77
2017-08-27;NA22FK1;NA;90.59;96.79
2017-08-27;NA56CJ2;NA;99.88;96.82
2017-08-27;AV03WJ2;AV;99.59;96.85
2017-08-27;LO02GM1;LO;100.0;96.86
2017-08-27;LO03EJ3;LO;100.0;96.88
2017-08-27;LE83VJ1;LE;98.55;96.9
2017-08-27;NA34CM1;NA;100.0;97.03
2017-08-27;NA30CJ3;NA;95.81;97.13
2017-08-27;SX27OK2;SX;100.0;97.18
2017-08-27;NA65CJ3;NA;99.82;97.21
2017-08-27;NA48CJ1;NA;98.29;97.24
2017-08-27;SX77LK1;SX;100.0;97.29
2017-08-27;LO22AJ1;LO;100.0;97.32
2017-08-27;LO26AM3;LO;100.0;97.33
2017-08-27;NA44CM1;NA;99.12;97.35
2017-08-27;SX39EJ1;SX;99.92;97.49
2017-08-27;NA29CM1;NA;100.0;97.5
2017-08-27;NA31FK1;NA;96.45;97.5
2017-08-27;NA37AJ2;NA;99.96;97.5
2017-08-27;NA46FK3;NA;97.74;97.5
2017-08-27;NA41CM1;NA;100.0;97.52
2017-08-27;SX43CJ1;SX;99.72;97.55
2017-08-27;NA36CM2;NA;100.0;97.62
2017-08-27;SO25SJ1;SO;96.45;97.62
2017-08-27;NA13AJ1;NA;100.0;97.65
2017-08-27;NA44BJ2;NA;99.95;97.73
2017-08-27;NA43AM2;NA;100.0;97.95
2017-08-27;SO14SJ2;SO;99.32;97.95
2017-08-27;LO04EJ2;LO;100.0;98.05
2017-08-27;NA19CJ2;NA;99.97;98.07
2017-08-27;NA47AM1;NA;100.0;98.11
2017-08-27;NA17GJ1;NA;99.98;98.12
2017-08-27;NA18GJ2;NA;100.0;98.12
2017-08-27;LO08CJ1;LO;100.0;98.13
2017-08-27;NA34CM3;NA;100.0;98.14
2017-08-27;LO08EJ1;LO;100.0;98.15
2017-08-27;LE83VJ2;LE;100.0;98.19
2017-08-27;AV03WJ1;AV;99.92;98.21
2017-08-27;LO06EK3;LO;100.0;98.21
2017-08-27;NA54BJ2;NA;100.0;98.28
2017-08-27;SX70AJ2;SX;98.27;98.29
2017-08-27;NA21GK2;NA;100.0;98.32
2017-08-27;LO11AK3;LO;100.0;98.36
2017-08-27;NA52BJ3;NA;100.0;98.36
2017-08-27;NA40CM2;NA;99.46;98.37
2017-08-27;LO02GJ3;LO;100.0;98.43
2017-08-27;SX75LK2;SX;99.98;98.43
2017-08-27;SX77LJ1;SX;99.78;98.46
2017-08-27;NA58CK2;NA;100.0;98.49
2017-08-27;LO13BM1;LO;100.0;98.51
2017-08-27;NA23GJ1;NA;99.96;98.51
2017-08-27;BU43SJ2;BU;99.48;98.53
2017-08-27;SX03EJ1;SX;99.68;98.56
2017-08-27;LO18AJ1;LO;99.88;98.57
2017-08-27;AV11SJ2;AV;100.0;98.58
2017-08-27;LO12AM1;LO;100.0;98.59
2017-08-27;BU43SM1;BU;100.0;98.61
2017-08-27;NA50BJ2;NA;99.81;98.61
2017-08-27;NA27CJ2;NA;100.0;98.62
2017-08-27;NA44CM3;NA;99.61;98.64
2017-08-27;SX69OK1;SX;100.0;98.65
2017-08-27;NA30CJ1;NA;100.0;98.66
2017-08-27;NA17GJ3;NA;100.0;98.7
2017-08-27;NA01CJ2;NA;99.54;98.72
2017-08-27;SX14EK3;SX;100.0;98.74
2017-08-27;SX66CJ3;SX;99.95;98.75
2017-08-27;LO04EJ3;LO;100.0;98.77
2017-08-27;NA44BJ1;NA;100.0;98.78
2017-08-27;LO11AK1;LO;100.0;98.79
2017-08-27;NA46CJ1;NA;99.92;98.79
2017-08-27;NA46FK1;NA;92.08;98.8
2017-08-27;AV93WJ2;AV;99.94;98.81
2017-08-27;NA25CM2;NA;100.0;98.82
2017-08-27;NA71CK3;NA;100.0;98.83
2017-08-27;NA50CM1;NA;100.0;98.84
2017-08-27;LO15AJ2;LO;100.0;98.85
2017-08-27;SX08EK3;SX;100.0;98.85
2017-08-27;SO20SJ1;SO;99.25;98.86
2017-08-27;AV93WK3;AV;100.0;98.87
2017-08-27;NA29CJ1;NA;99.22;98.88
2017-08-27;NA18GJ3;NA;100.0;98.9
2017-08-27;LE05SM1;LE;99.94;98.91
2017-08-27;SX18EJ3;SX;99.83;98.91
2017-08-27;NA58CK3;NA;100.0;98.93
2017-08-27;LO06EK1;LO;100.0;98.94
2017-08-27;SX22EJ1;SX;99.96;98.94
2017-08-27;SX46LK2;SX;100.0;98.94
2017-08-27;SX90EK3;SX;100.0;98.95
2017-08-27;PX49VJ1;PX;99.73;98.97
2017-08-27;LO13AM1;LO;100.0;99.0
2017-08-27;NA42AJ2;NA;100.0;99.0
2017-08-27;SX72EJ3;SX;100.0;99.0
2017-08-27;SX90EK1;SX;100.0;99.0
2017-08-27;LO09EJ1;LO;100.0;99.01
2017-08-27;NA46FJ3;NA;100.0;99.01
2017-08-27;NA65CJ2;NA;100.0;99.01
2017-08-27;SX35EJ2;SX;99.58;99.01
2017-08-27;AV11SJ1;AV;93.31;99.02
2017-08-27;LO11FM1;LO;100.0;99.02
2017-08-27;AV93WJ3;AV;98.7;99.03
2017-08-27;NA26FJ2;NA;99.99;99.03
2017-08-27;SX18AJ1;SX;99.65;99.03
2017-08-27;SX90EJ3;SX;99.18;99.04
2017-08-27;NA46FJ2;NA;100.0;99.05
2017-08-27;NA11GJ2;NA;100.0;99.07
2017-08-27;SX66CK3;SX;99.94;99.07
2017-08-27;LO23RK1;LO;100.0;99.08
2017-08-27;NA26GJ1;NA;100.0;99.08
2017-08-27;NA43CM3;NA;100.0;99.1
2017-08-27;NA46FJ1;NA;100.0;99.1
2017-08-27;SX18EK2;SX;100.0;99.1
2017-08-27;SX32LK1;SX;100.0;99.11
2017-08-27;SX71OJ2;SX;99.86;99.11
2017-08-27;NA46FK2;NA;91.1;99.13
2017-08-27;SX04LJ2;SX;99.99;99.13
2017-08-27;LO13BM3;LO;100.0;99.15
2017-08-27;NA01CJ3;NA;99.38;99.16
2017-08-27;NA12FJ1;NA;100.0;99.16
2017-08-27;NA21GK3;NA;100.0;99.16
2017-08-27;SX24CK3;SX;99.98;99.16
2017-08-27;LO01HJ2;LO;100.0;99.17
2017-08-27;NA18FJ3;NA;100.0;99.17
2017-08-27;NA74CK3;NA;100.0;99.17
2017-08-27;NA60BM2;NA;100.0;99.18
2017-08-27;NA07AK1;NA;100.0;99.19
2017-08-27;NA65CJ1;NA;100.0;99.19
2017-08-27;SX26ZK1;SX;99.97;99.19
2017-08-27;NA43AM3;NA;100.0;99.2
2017-08-27;NA43FJ3;NA;100.0;99.2
2017-08-27;NA54BJ3;NA;100.0;99.2
2017-08-27;NA38EJ1;NA;100.0;99.21
2017-08-27;SX35EJ1;SX;99.6;99.21
2017-08-27;NA58BJ1;NA;100.0;99.22
2017-08-27;BU10WJ1;BU;99.49;99.23
2017-08-27;SX27EK1;SX;100.0;99.23
2017-08-27;NA37AJ1;NA;100.0;99.24
2017-08-27;NA45CM3;NA;100.0;99.24
2017-08-27;SX25CJ1;SX;99.44;99.24
2017-08-27;SX65ZJ3;SX;99.64;99.24
2017-08-27;LO04EJ1;LO;100.0;99.25
2017-08-27;NA23GJ3;NA;99.78;99.25
2017-08-27;NA37CJ1;NA;100.0;99.25
2017-08-27;SO54EJ1;SO;99.94;99.25
2017-08-27;NA70CJ1;NA;100.0;99.26
2017-08-27;SX23EJ1;SX;99.66;99.26
2017-08-27;SX27OJ2;SX;99.96;99.26
2017-08-27;LO06CJ2;LO;100.0;99.27
2017-08-27;LO09EJ3;LO;100.0;99.27
2017-08-27;NA24FJ3;NA;100.0;99.27
2017-08-27;NA52FJ3;NA;100.0;99.27
2017-08-27;SX71OK2;SX;100.0;99.27
2017-08-27;BU07AJ1;BU;97.74;99.28
2017-08-27;SX71OJ1;SX;99.94;99.28
2017-08-27;BU10WJ3;BU;99.76;99.29
2017-08-27;NA46BJ2;NA;100.0;99.29
2017-08-27;NA66CM1;NA;100.0;99.29
2017-08-27;SX23CJ3;SX;99.95;99.29
2017-08-27;NA46CM1;NA;100.0;99.3
2017-08-27;NA53FK1;NA;94.93;99.3
2017-08-27;NA55BJ2;NA;100.0;99.3
2017-08-27;SX23EJ2;SX;99.67;99.3
2017-08-27;NA27FK1;NA;89.68;99.31
2017-08-27;NA24FJ2;NA;100.0;99.32
2017-08-27;NA26GJ2;NA;99.94;99.32
2017-08-27;SX85LK1;SX;100.0;99.32
2017-08-27;AV93WK1;AV;100.0;99.33
2017-08-27;NA19DJ3;NA;98.69;99.34
2017-08-27;SX26ZK2;SX;100.0;99.34
2017-08-27;LO01GM1;LO;99.23;99.35
2017-08-27;LO19BJ1;LO;100.0;99.35
2017-08-27;NA38EJ2;NA;100.0;99.35
2017-08-27;NA58CK1;NA;100.0;99.35
2017-08-27;SX56LK3;SX;100.0;99.35
2017-08-27;NA18GK2;NA;99.9;99.36
2017-08-27;SO25SJ3;SO;99.37;99.36
2017-08-27;SX46LK3;SX;100.0;99.36
2017-08-27;NA48CJ3;NA;99.91;99.37
2017-08-27;LO05GJ3;LO;100.0;99.38
2017-08-27;NA18BJ2;NA;99.78;99.38
2017-08-27;NA23GJ2;NA;100.0;99.38
2017-08-27;NA36CJ1;NA;99.91;99.38
2017-08-27;NA48AJ4;NA;100.0;99.38
2017-08-27;NA51BM1;NA;100.0;99.38
2017-08-27;LO11DM1;LO;100.0;99.39
2017-08-27;NA39AJ1;NA;100.0;99.39
2017-08-27;NA71BJ2;NA;100.0;99.39
2017-08-27;SX12CJ3;SX;99.1;99.39
2017-08-27;SX55CJ1;SX;99.59;99.39
2017-08-27;LO12AM3;LO;100.0;99.4
2017-08-27;NA04FJ2;NA;100.0;99.4
2017-08-27;NA24FJ1;NA;100.0;99.4
2017-08-27;SX35EJ3;SX;98.81;99.4
2017-08-27;SX41OJ2;SX;100.0;99.4
2017-08-27;LO02GM2;LO;100.0;99.41
2017-08-27;LO02HJ2;LO;100.0;99.41
2017-08-27;LO06EJ3;LO;100.0;99.41
2017-08-27;NA18GK3;NA;98.15;99.41
2017-08-27;NA31CM2;NA;100.0;99.41
2017-08-27;NA43CM1;NA;100.0;99.41
2017-08-27;NA61CM3;NA;100.0;99.41
2017-08-27;SX66CK2;SX;100.0;99.41
2017-08-27;BU10WK2;BU;100.0;99.42
2017-08-27;LO15BJ2;LO;100.0;99.42
2017-08-27;LO30AJ2;LO;100.0;99.42
2017-08-27;NA04GJ2;NA;100.0;99.42
2017-08-27;NA49BJ2;NA;100.0;99.42
2017-08-27;BU07AJ2;BU;99.43;99.43
2017-08-27;LO03GJ2;LO;100.0;99.43
2017-08-27;NA58BJ2;NA;100.0;99.43
2017-08-27;SX09ZK2;SX;99.99;99.43
2017-08-27;SX38AK1;SX;99.88;99.43
2017-08-27;SX48ZJ2;SX;100.0;99.43
2017-08-27;LO19RJ3;LO;100.0;99.44
2017-08-27;NA18BJ1;NA;99.95;99.44
2017-08-27;NA70CJ2;NA;99.71;99.44
2017-08-27;SX14EJ3;SX;99.8;99.44
2017-08-27;SX18EJ2;SX;99.79;99.44
2017-08-27;SX20EK1;SX;99.98;99.44
2017-08-27;SX40CJ1;SX;99.25;99.44
2017-08-27;NA32CJ3;NA;99.92;99.45
2017-08-27;SX26ZK3;SX;99.98;99.45
2017-08-27;BU10WJ2;BU;99.73;99.46
2017-08-27;LO11AK2;LO;100.0;99.46
2017-08-27;NA04FJ1;NA;100.0;99.46
2017-08-27;NA63BK1;NA;100.0;99.46
2017-08-27;SX08EJ2;SX;99.66;99.46
2017-08-27;LE31RJ2;LE;99.81;99.47
2017-08-27;LO01BJ2;LO;100.0;99.47
2017-08-27;LO08IJ2;LO;100.0;99.47
2017-08-27;SX46LJ3;SX;99.08;99.47
2017-08-27;LO02GM3;LO;100.0;99.48
2017-08-27;NA05BK2;NA;100.0;99.48
2017-08-27;NA28CM1;NA;100.0;99.48
2017-08-27;NA36GJ1;NA;100.0;99.48
2017-08-27;NA38GK1;NA;94.82;99.48
2017-08-27;NA41AJ1;NA;100.0;99.48
2017-08-27;SX03EJ2;SX;99.77;99.48
2017-08-27;SX27OJ1;SX;99.94;99.48
2017-08-27;SX95CK2;SX;100.0;99.48
2017-08-27;LO02HK1;LO;100.0;99.49
2017-08-27;LO09CM2;LO;93.02;99.49
2017-08-27;NA51CM1;NA;100.0;99.49
2017-08-27;SX26CJ1;SX;99.67;99.49
2017-08-27;SX39EJ2;SX;99.81;99.49
2017-08-27;SX69OK2;SX;100.0;99.49
2017-08-27;LO08CM1;LO;100.0;99.5
2017-08-27;NA10CK2;NA;100.0;99.5
2017-08-27;NA37EJ2;NA;100.0;99.5
2017-08-27;NA58AJ2;NA;100.0;99.5
2017-08-27;SX11ZJ3;SX;100.0;99.5
2017-08-27;SX43CJ3;SX;99.89;99.5
2017-08-27;LO18BJ2;LO;99.96;99.51
2017-08-27;NA35GK2;NA;100.0;99.51
2017-08-27;NA50CJ1;NA;100.0;99.51
2017-08-27;NA51CM3;NA;100.0;99.51
2017-08-27;NA55BJ1;NA;100.0;99.51
2017-08-27;SX08EK2;SX;99.85;99.51
2017-08-27;SX41OJ1;SX;99.89;99.51
2017-08-27;SX55CK2;SX;100.0;99.51
2017-08-27;LO09CM1;LO;99.9;99.52
2017-08-27;NA05GJ2;NA;100.0;99.52
2017-08-27;NA46CJ3;NA;99.94;99.52
2017-08-27;NA48AJ1;NA;100.0;99.52
2017-08-27;NA48CJ2;NA;99.98;99.52
2017-08-27;NA51BM3;NA;100.0;99.52
2017-08-27;SO20SK3;SO;100.0;99.52
2017-08-27;LO29AJ2;LO;100.0;99.53
2017-08-27;NA26FJ1;NA;100.0;99.53
2017-08-27;NA39AJ3;NA;100.0;99.53
2017-08-27;NA53BM1;NA;100.0;99.53
2017-08-27;SX38AJ1;SX;99.64;99.53
